State,Cities,Hotel Name,Destination,Describe,Ratings,review_count,Actual Price,Offer Percentage,Price
Rajasthan,alwar,Hotel O Ananda & Restaurant,Near Railway Station,Fair,3,35,2585,71,580
Rajasthan,alwar,Hotel O Royal Galaxy Hotel,Alwar public school ke pass kesarpur stand bypass,Very Good,4,16,1929,72,428
Rajasthan,alwar,Hotel O Vasu Hotel,Jaipur Road,Fabulous,5,5,2011,72,431
Rajasthan,alwar,SPOT ON Riddhi Siddhi Residency,Bansur,Very Good,4,6,2426,72,524
Rajasthan,alwar,Hotel O Alwar Hotel and Dhaba,Rajgarh Road Kesharpur,Fair,3,1,2585,71,580
Rajasthan,alwar,Hotel O Hotel Pushpraj,Near Jhilmil Misthan Bhandar,Fair,3,3,2585,71,580
Haryana,ambala,Hotel O Welcome Lounge,Near Main Bus Stand,Good,3.5,259,3157,68,795
Haryana,ambala,Hotel O Heaven,Ambala Cantt. ,Fair,3,68,2376,77,434
Haryana,ambala,Hotel O Dhruva Residency,Idgah road  Ambala Cantt.,Fair,3,86,2979,74,614
Haryana,ambala,Hotel O Angad Continental,At Main Bus Stand And Railway Station Ambala Cantt,Fair,3,17,2630,72,583
Haryana,ambala,Hotel O Sangam Resort,Near Suraj Kund Gurudwara,Good,3.5,8,5091,71,1163
Punjab,amritsar,Hotel O Mall Residency,Near Yes Bank,Fair,3,22,3399,68,864
Punjab,amritsar,Hotel O Axis Inn,Amritsar,Good,3.5,58,3250,73,693
Punjab,amritsar,Hotel O Boss,Plot no 58  Near Golden Temple Parking Bridge G t. Road..Amritsar ,Fabulous,5,1,3522,72,803
Punjab,amritsar,Capital O City Inn,City Centre,Very Good,4,60,4057,68,1013
Punjab,amritsar,Hotel O Prince Paradise,Adjoining Union Bank of India,Good,3.5,11,3640,75,716
Punjab,amritsar,Hotel O TR,golden temple road,Fabulous,5,3,4579,71,1088
Punjab,amritsar,Hotel O Azaad Lifestyle,Near Sangam Cinema,Fair,3,54,3537,68,901
Punjab,amritsar,Hotel O Pink Residency,near Golden temple,Good,3.5,16,4428,68,1136
Punjab,amritsar,Hotel O Diamond,City Centre ,Good,3.5,7,4014,67,1060
Punjab,amritsar,Super Townhouse Ajit Nagar Near Golden Temple,Ajit Nagar,Excellent,4.5,132,4080,77,785
Punjab,amritsar,Super Collection O Amritsar Near Bus Stand,Near Bamrah Petrol Pump,Excellent,4.5,101,3640,69,939
Punjab,amritsar,Collection O Amritsar Near Railway Station,Near Cycle Market,Excellent,4.5,6,3851,72,881
Punjab,amritsar,Hotel O Heritage Street Near Golden Temple,Near Golden Temple,Excellent,4.5,50,3626,73,802
Punjab,amritsar,Hotel O Saffron Night Stay,inside sultanwind gate,Very Good,4,9,4579,72,1054
Punjab,amritsar,Super Hotel O Winner Inn,Near Golden Temple,Very Good,4,554,4165,67,1105
Punjab,amritsar,Super Townhouse Golden Avenue Road,Golden A v e Rd,Very Good,4,630,4929,73,1065
Punjab,amritsar,Hotel O Gian Residency,Near Ram Garhia School ,Very Good,4,33,3054,67,794
Punjab,amritsar,Super Hotel O Behl Ashiana,White Avenue,Very Good,4,52,3640,73,777
Punjab,amritsar,Hotel O Rich Inn,Near Bus Stand,Excellent,4.5,175,3325,68,849
Punjab,amritsar,Super Hotel O Midway,Near bus stand,Excellent,4.5,44,3407,72,771
Punjab,amritsar,Hotel O Livinn Hub,Near Pulse Hospital,Good,3.5,20,2912,72,653
Punjab,amritsar,Townhouse Hollywood Heights,Near Golden Temple,Very Good,4,255,4035,72,912
Punjab,amritsar,Hotel O Grand Star,INA Colony,Very Good,4,17,3640,73,774
Punjab,amritsar,Super Townhouse Grand Fortune,Crystal Chowk,Good,3.5,44,4579,72,1054
Punjab,amritsar,Super Hotel O Queensland,I N A Colony,Very Good,4,113,4232,68,1073
Punjab,amritsar,Hotel O Gn Pride,Near Golden Temple,Good,3.5,43,3392,68,866
Punjab,amritsar,Hotel O Kapoor Residency,Near Shivala Fatak,Fair,3,26,3414,72,769
Punjab,amritsar,Hotel O MGM Gold,Hall Bazar,Very Good,4,105,3372,72,767
West Bengal,asansol,Hotel O Vatika Hotel,Near Debudi checkpost,Good,3.5,5,3688,79,621
West Bengal,asansol,Collection O Hindustan Vila,D V C More Near Calcutta Girls High School,Good,3.5,37,3939,72,898
West Bengal,asansol,Hotel O Prakash International,Asansol Bazar,Good,3.5,13,3427,71,776
West Bengal,asansol,Collection O Queens Resort,Near Aahar e Bangali,Good,3.5,10,4310,86,461
West Bengal,asansol,Hotel O Shristi Lodge,Rupnarayanpur,Excellent,4.5,13,3494,74,725
West Bengal,asansol,Collection O Flavour,opposite of Asansol Engineering College,Excellent,4.5,203,6849,67,1820
West Bengal,asansol,Collection O Panorama Country Club And Resort,Near Kulti Out Post,Fair,3,7,6058,73,1322
West Bengal,asansol,Super Collection O Meera International,Apcar Garden,Very Good,4,1057,4975,71,1171
West Bengal,asansol,Hotel O ALISHA LODGE,Lower Chelidanga Asanso,Fair,3,169,3677,71,831
West Bengal,asansol,Hotel O AB Hotel,Raniganj,Very Good,4,3,4639,72,1068
Maharashtra,aurangabad,Townhouse Kranti Square Aurangabad,Near Sant Eknath Rang Mandir,Good,3.5,348,5674,72,1314
Maharashtra,aurangabad,Hotel O Bajaj Nagar Waluj formerly S Boss,Waluj MIDC,Very Good,4,130,5739,68,1516
Maharashtra,aurangabad,Super Hotel O Padampura Near Railway Station,Dr Bhapkar Marg,Very Good,4,589,3851,68,1017
Maharashtra,aurangabad,Hotel O Balaji Executive Lodging,Aurangabad - 431007,Very Good,4,57,3062,71,690
Maharashtra,aurangabad,Hotel O Kohinoor Plaza,Near KFC,Very Good,4,25,6605,71,1584
Maharashtra,aurangabad,Hotel O SHANGRILA ELITE,Railway Station Road,Good,3.5,169,5234,71,1197
Maharashtra,aurangabad,Hotel O Chhaya,Aurangapuranullnull,Good,3.5,312,3612,68,924
Maharashtra,aurangabad,Hotel O Carnival,Plot no.1. Jalna road varud fata shendra MIDC Road,Very Good,4,9,2630,70,625
Maharashtra,aurangabad,Hotel O Shree Balaji Lodging,Near API Corner,Very Good,4,118,4771,71,1121
Maharashtra,aurangabad,Hotel O Maharaja ,Near Maharana Pratap Chowk,Good,3.5,154,2254,65,625
Maharashtra,aurangabad,Hotel O Basuri Lodging ,Aurangabad 431009,Excellent,4.5,3,2912,73,625
Maharashtra,aurangabad,Hotel O Vishwa Lodging,Satara Parisar Aurangabad,Very Good,4,38,4405,71,1000
Maharashtra,aurangabad,Hotel O 68179 Hotel New Abhijeet,Near Mauli Enterprises,Very Good,4,171,2630,70,621
Maharashtra,aurangabad,Hotel O Grand Executive,Jalna Road,Good,3.5,39,4125,73,899
Maharashtra,aurangabad,SPOT ON Visawa lodging,Nearby Landmark. Near Maharana Pratap Chowk,Fair,3,5,3154,76,606
Maharashtra,aurangabad,Hotel O New Raj Kamal,Near Bembde Hospital,Good,3.5,102,4158,72,940
Maharashtra,aurangabad,Capital O Ramraj Inn,At Post Kumbephal Phata,Excellent,4.5,65,4389,72,996
Maharashtra,aurangabad,SPOT ON Shree Gajanan,Jaybhavani Nagar,Very Good,4,71,2472,68,611
Uttar Pradesh,ayodhya,Hotel O Home Siya Bihari Guest House.,Plot no-02 Raiganj Near Ayodhya Dham railway station ayodhya,Fabulous,5,7,13071,62,4083
Uttar Pradesh,ayodhya,Hotel O Home Siya Homestay,Naka,Excellent,4.5,12,13205,63,4071
Uttar Pradesh,ayodhya,Hotel O Home Madhav Homestay,Ayodhya. Near Ramayna hotelAyodhya,Good,3.5,7,13875,65,4083
Uttar Pradesh,ayodhya,Hotel O Home Siya Ram Homestay,Plot No -5/18 Asharafi Bhawan Chauraha Road Tulsi Nagar Ayodhya,Fair,3,5,13778,64,4071
Uttar Pradesh,ayodhya,Hotel O Home Rk Homes,Ram ghat ,Fair,3,4,13184,63,4083
Uttar Pradesh,ayodhya,Hotel O The Blue Moon Paying Guest House,Gate No 2,Fair,3,7,13092,62,4071
Uttar Pradesh,ayodhya,Hotel O HOME Swagat Homestay,Janaura Bypass,Good,3.5,6,13757,64,4083
Uttar Pradesh,ayodhya,Hotel O S.R. Palce ,Plot -1442 Ashapur Village Deokali Ayodhya,Fabulous,5,1,13757,64,4083
Uttar Pradesh,ayodhya,Hotel O Home A R.s Homestay,Ayodhya  Near Ayodhya Railway station ,Very Good,4,1,13778,64,4071
Uttar Pradesh,ayodhya,Hotel O Home Ram Bila Paying Guest House,Plot Number-11Plot Number-11Bag Bageshwar Near therth Chetra Mandi Parvat Ayodhya,Excellent,4.5,4,13771,64,4075
Uttar Pradesh,ayodhya,Hotel O Shree Ram Krishna Mahal,Plot no-001 Lav Kush nager near Karsevakpuram RamGhat Ayodhya Behind Ayodhya Eye Hospital,Fabulous,5,24,13757,64,4083
Uttar Pradesh,ayodhya,Hotel O Home Ayodhya Homestay,Ayodhya,Fair,3,20,11038,64,3247
Uttar Pradesh,ayodhya,Hotel O The Nest,Plot No-01  halkara ka purwa panch kosi Parikrama marg Nearby parma academy,Good,3.5,96,15808,63,4907
Uttar Pradesh,ayodhya,Hotel O Maa Yashodha Palace,Near Surya kund AYodhya,Fabulous,5,3,13875,65,4083
Uttar Pradesh,ayodhya,Hotel O Shivay The Palace,Plot No.-11 Mogara Chodha-madhi,Good,3.5,12,13071,62,4083
Uttar Pradesh,ayodhya,Hotel O Home Shyama Lodge,Near Baldev Vidya Mandir,Good,3.5,6,13184,63,4083
Uttar Pradesh,ayodhya,Hotel O Pranav Inn,Maharishi Valmiki International Airpot,Good,3.5,3,13085,62,4075
