,Place,Hotel Name,Destination,Actual Price,Offer Percentage,Price,Ratings,Review
1743,faridaba,Hotel O FUKREYSTAYS HOTEL,PLOT NO G-129 1st floor PLOT NO G-129 1st floor SGM NAGAR BADKHAL LAKE CHOWK,₹2254,72%,₹493,16,Excellent
1744,faridaba,SPOT ON Monsoon Lilly Resort,Sector 59 near Eicher workshop,₹2014,72%,₹442,29,Excellent
1745,faridaba,Hotel O Dazzle Inn,Tikona Park,₹2338,71%,₹522,9,Excellent
1746,faridaba,Hotel O Flagship,Nearby St. Joseph Convent School,₹2389,68%,₹601,536,Excellent
1747,faridaba,Hotel O Welcome Dau Ji,Old Faridabad.,₹3224,68%,₹813,6,Excellent
1748,faridaba,Super Hotel O Kalka,Infront of Amrita Hospital and Indian Oil petrol pump,₹2630,75%,₹498,216,Excellent
1749,faridaba,Hotel O AKASH,Main Mathura Road,₹2772,74%,₹561,15,Good
1750,faridaba,Hotel O Orchid Inn,Near IDBI BANK,₹2772,74%,₹559,548,Excellent
1751,faridaba,Hotel O lime inn,sector 31,₹3174,74%,₹660,194,Excellent
1752,faridaba,Hotel O Rajeev Nagar Faridabad,Opposite Piyush Mahindra Mall,₹2708,66%,₹770,258,Very Good
1753,faridaba,Collection O Slf Mall Sector 30,Sector 30,₹3226,81%,₹461,19,Fair
1754,faridaba,Hotel O Times Square,Sec 43,₹2669,77%,₹475,441,Excellent
1755,faridaba,Hotel O Sangeet,Neelam Bata Road,₹2402,71%,₹533,33,Very Good
1756,faridaba,Hotel O Sushant Palace,,₹2630,77%,₹461,20,Good
1757,faridaba,Hotel O The Manvi Hotel,,₹2293,74%,₹461,10,Very Good
1758,faridaba,Hotel O Green,Ankhir,₹2784,79%,₹461,20,Very Good
1759,faridaba,Hotel O Suncity,Plot No 31 Fruit Garden Plot No 31 Fruit Garden Neelam Railway Road,₹1802,67%,₹461,22,Good
1760,faridaba,Hotel O Heritage Residency,Near Goverment School,₹2630,75%,₹514,16,Very Good
1761,faridaba,Hotel O Moon Tara,Centrally Located,₹2185,73%,₹461,32,Very Good
1762,faridaba,Hotel O Royal Stay,NIT,₹2505,71%,₹561,90,Good
1763,faridaba,Hotel O Siya Residency,Badkhal Chowk,₹2509,71%,₹545,348,Good
1764,faridaba,Hotel O Royal Place,Greater null,₹2442,74%,₹490,19,Good
1765,faridaba,Hotel O Elite,Sector 1,₹3166,81%,₹461,3,Very Good
1766,faridaba,Hotel O Rose,2nd Floor Huda Market Sector 3 Ballabgarh,₹2585,71%,₹580,19,Good
1767,faridaba,Hotel O Golden Rays,Near Viroga Wellness Center,₹2641,71%,₹594,2,Fair
1768,faridaba,Hotel O Blueberry,Near Neelam Bata Road,₹2293,70%,₹547,2,Good
1769,faridaba,Hotel O Paradise,Sec-37,₹4065,68%,₹1040,177,Excellent
1770,faridaba,Hotel O Gulabi Delight ,NIT 5,₹2523,72%,₹550,11,Excellent
1771,faridaba,Hotel O DSG Residency,Near Dashmesh Plaza,₹3207,72%,₹728,12,Excellent
1772,faridaba,Hotel O Rajlaxmi,Landmark- Nearby Chennai by Dharamshala.,₹1882,69%,₹461,9,Fair
1773,faridaba,Hotel O Dam's Hotel And Restaurant,Road Mannat Hotel Valley Ballabgarh,₹2254,74%,₹461,13,Very Good
1774,faridaba,Hotel O Dazzle Inn Prime,Faridabad,₹2835,71%,₹639,19,Excellent
1775,faridaba,Hotel O Premium Rooms,FARIDABAD HARYANAnull,₹4504,74%,₹950,379,Good
1776,faridaba,Hotel O Perky Stay,Near Neelam Gol Chakkar,₹4198,74%,₹892,107,Very Good
1777,faridaba,Hotel O Town Palace,Sector 25,₹2137,72%,₹461,10,Good
1778,faridaba,Hotel O RKN Homes,Sector 89,₹1824,68%,₹461,17,Very Good
1779,faridaba,Hotel O Welcome,Near Sec-37 Road.,₹2254,73%,₹469,14,Fair
1780,faridaba,Hotel O  Delight Residency,Behind Crown Plaza mall,₹2630,72%,₹585,28,Good
1781,faridaba,Hotel O HR 07 ,Sector 87,₹2469,74%,₹493,1,Fabulous
1782,faridaba,Hotel O Seven Spring,Faridabad,₹2254,74%,₹456,25,Good
